first_name,last_name,hire_date
Uzi,Masamoto,26/04/1986
Mansur,Lortz,4/06/1986
Claude,Taubman,20/11/1986
Vishv,Heering,30/10/1986
Katsuo,Chinen,1/11/1986
Saddek,Ressouche,27/11/1986
Kazuhide,Quittner,27/04/1986
Dekang,Anger,9/02/1986
Eishiro,Gimarc,18/05/1986
Satoru,Stille,20/02/1986
Bokyung,Birjandi,6/08/1986
Filipe,Yoshizawa,14/07/1986
Thanasis,Chinal,28/10/1986
Saniya,Harllee,20/10/1986
Tayeb,Akazan,9/10/1986
Goncalo,Stenning,2/02/1986
Demin,Swist,18/10/1986
Shay,Homond,13/11/1986
Kristen,Yoshimura,20/03/1986
Frederique,Kriebel,7/07/1986
Mads,Kabayashi,27/03/1986
Yannis,Sommer,26/08/1986
Phule,Oaver,12/12/1986
Chenxi,Brookman,2/12/1986
Arlette,Boguraev,1/01/1986
Tesuya,Kalefeld,7/12/1986
Ramachenga,Dusink,5/08/1986
Elvia,Zeilberger,9/06/1986
Nakhoon,Irland,6/04/1986
Eirik,Gils,11/04/1986
Mantis,Zaccaria,6/05/1986
Gianluca,England,11/06/1986
Zhenhua,Gerlach,27/09/1986
Fei,Cappelli,9/03/1986
Aris,Koshiba,6/01/1986
Martial,Maierhofer,22/03/1986
Zhigen,Birdsall,9/09/1986
Valery,Brobst,20/02/1986
Houman,Gien,27/06/1986
Xuedong,Krohn,18/04/1986
Denis,Choobineh,29/12/1986
Mingzeng,Beerel,30/12/1986
Basem,Emden,12/09/1986
Jaana,Puppo,18/09/1986
Ziva,Encarnacion,4/07/1986
Yuuichi,Alpay,6/12/1986
Remko,Frolund,12/07/1986
Masamitsu,Baaleh,22/02/1986
Toong,Suri,15/08/1986
Sahrah,Thambidurai,15/01/1986
Adin,Kolvik,16/11/1986
Guadalupe,Auria,23/03/1986
Chinhyun,Lorho,22/03/1986
Sadok,Perl,15/06/1986
Kien,Strehl,15/03/1986
Chinho,Fadgyas,19/05/1986
Woody,Beidas,23/03/1986
Harngdar,Muchinsky,13/11/1986
Ymte,Pell,9/06/1986
Zhiguo,Falster,27/07/1986
Tonia,Perri,19/07/1986
Renee,Coullard,15/12/1986
Szabolcs,Chandrasekhar,12/07/1986
Bilhanan,Ciolek,11/07/1986
Fun,Silva,30/04/1986
Martins,Vernadat,6/04/1986
Vugranam,Yoshizawa,1/03/1986
Doowon,Sethi,26/05/1986
Adamantios,Restivo,17/07/1986
Alassane,Awdeh,26/11/1986
Jolita,Velardi,23/12/1986
Gill,Peltason,25/01/1986
Yonghoan,Gecseg,10/06/1986
Lalit,Chenney,1/03/1986
Marjo,Niizuma,8/08/1986
Kenton,Gornas,27/05/1986
Xuejia,Erbe,31/05/1986
Giao,Siegrist,29/03/1986
Ebbe,Buchter,15/05/1986
Xiaopeng,Magliocco,16/07/1986
Bowen,Melter,11/06/1986
Poorav,Veldwijk,27/11/1986
Shigeichiro,Lamparter,10/11/1986
Danco,Luff,13/06/1986
Adib,Yetim,22/08/1986
Christophe,Plesums,6/03/1986
Tua,Zykh,21/05/1986
Boguslaw,Talmor,3/07/1986
Chaitali,Felcyn,7/04/1986
Peternela,Miara,5/07/1986
Menkae,Langford,19/02/1986
Tesuro,Simmen,7/06/1986
Nectarios,Werthner,23/09/1986
Muneo,Broomell,26/01/1986
Sajjad,Chepyzhov,4/02/1986
Jayesh,Welham,1/07/1986
Qunsheng,Boreale,15/07/1986
Gino,Pettis,23/10/1986
Guther,Thebaut,14/12/1986
Bernd,Chiodo,7/01/1986
Guoxiang,Paludetto,22/05/1986
Kazunori,Avouris,8/10/1986
Yakichi,Hettesheimer,24/02/1986
Naraig,Dalton,12/02/1986
Wojceich,Chvatal,18/09/1986
Shietung,Zeidenstein,8/02/1986
Along,Esposito,24/12/1986
Srinidhi,Nooteboom,14/11/1986
Dinkar,Kinley,5/01/1986
Margareta,Frijda,10/12/1986
Shaz,Acton,10/08/1986
Paraskevi,Geffroy,25/06/1986
Shahar,Picaronny,30/12/1986
Satyanarayana,Ciolek,29/10/1986
Lijie,Krone,29/09/1986
Yonghong,Schaap,4/11/1986
Rosita,Dulli,27/08/1986
Limsoon,Nations,31/10/1986
Teunis,Delgrange,9/01/1986
Manu,Bodoff,14/12/1986
Ymte,Kakkad,29/10/1986
Niteen,Haraldson,16/12/1986
Hongzue,Himler,3/01/1986
Sushant,Stassinopoulos,21/11/1986
Elgin,Kowalchuk,9/10/1986
Zorica,Pileggi,4/12/1986
Florian,Szilard,21/06/1986
Arve,Emmart,30/08/1986
Gretta,Compeau,6/10/1986
Rutger,Rosaz,24/05/1986
Malu,Impagliazzo,20/08/1986
Lalit,Vesel,10/08/1986
Moie,Rusmann,28/03/1986
Moto,Radwan,6/07/1986
Ashish,Trachtenberg,29/04/1986
Golgen,Erol,7/06/1986
Beshir,Zlotek,20/01/1986
Christoph,Bridgland,1/12/1986
Fei,Oppitz,30/03/1986
Guiseppe,Morris,29/05/1986
Kitty,Huttel,6/01/1986
Radhakrishnan,Fraisse,9/01/1986
Basant,Yeung,29/03/1986
Ranan,Anguita,10/11/1986
Kayoko,Peres,8/10/1986
Aiman,Heuser,2/09/1986
Conrado,Pluym,26/01/1986
Petter,Capobianchi,26/06/1986
Heon,Kaltofen,18/12/1986
Dipankar,Luga,22/08/1986
Jeanna,Milicic,22/10/1986
Bluma,Syang,26/01/1986
Berto,Dratva,10/01/1986
Uta,Swan,24/05/1986
Sanjay,Rissanen,9/08/1986
Steen,Raoux,5/11/1986
Susuma,Daescu,18/10/1986
Gererd,Decaestecker,19/02/1986
Amstein,Murtafg,18/10/1986
Tiina,Ecklund,21/10/1986
Alair,Luks,5/06/1986
Tooru,Busillo,2/09/1986
Kazuhide,Cardazo,14/07/1986
Kristinn,Gunderson,13/10/1986
Kwan,Swift,21/06/1986
Tzu,Pashtan,20/10/1986
Jingling,Ghelli,22/04/1986
Kamran,Anger,15/11/1986
Holgard,Pehl,8/04/1986
Boriana,Marchegay,8/01/1986
Miomir,Kowalchuk,18/11/1986
Basim,Cummings,26/05/1986
Xinglin,Baak,25/11/1986
Jacopo,Taubman,8/10/1986
Shih,Rossi,6/04/1986
Aksel,Brookner,29/03/1986
Gou,Demri,24/08/1986
Mads,Nishimukai,17/05/1986
Nahla,Cannata,18/12/1986
Takahito,Lampe,5/01/1986
Aksel,Businaro,24/01/1986
Michaela,Matzov,2/09/1986
Demos,Plumb,9/08/1986
Valery,Chelton,4/01/1986
Ziyad,Famili,1/01/1986
Arvind,Kowalchuk,7/10/1986
Hirochika,Siepmann,29/10/1986
Jaideep,VanScheik,24/05/1986
Richard,Prenel,2/01/1986
Perry,Milicic,10/06/1986
Gunilla,Czap,23/02/1986
Golgen,Kilgour,13/02/1986
Vitaly,Kusalik,27/02/1986
Kendra,Buescher,6/07/1986
Lenore,Zhang,28/05/1986
Kaijung,Basagni,2/07/1986
Abdelaziz,Herber,5/07/1986
Gonzalo,Braccini,8/11/1986
Shmuel,Bisiani,16/12/1986
Seongbae,Tasistro,6/03/1986
Radhika,Menhardt,24/10/1986
Paris,Morrow,10/10/1986
Khue,Teitelbaum,4/06/1986
Uzi,Murillo,3/04/1986
Fabrizio,Linares,25/08/1986
Lein,Bugaenko,1/12/1986
Mokhtar,Zirintsis,23/05/1986
Remmert,Sifakis,30/08/1986
Vitali,Menyhert,8/04/1986
Shridhar,Peral,19/08/1986
Siamak,Hebert,4/07/1986
Nahla,Schapire,28/10/1986
Pranas,Manderick,4/11/1986
Neven,Valette,17/06/1986
Hatem,Marletta,8/06/1986
Wojceich,Plotkin,23/12/1986
Rance,Pardalos,13/01/1986
Yinghua,Melter,24/09/1986
Leah,Sidje,25/01/1986
Kwangho,Baer,28/12/1986
Torsten,Merle,24/03/1986
Mahmut,Brender,27/03/1986
Syozo,Carrera,1/03/1986
Shan,Barinka,15/11/1986
Ayonca,Geffroy,11/02/1986
Heng,Puppo,7/05/1986
Shahab,Herath,24/10/1986
Shaunak,Hoppenstand,3/04/1986
Arch,Tsukuda,1/06/1986
Kaijung,Panangaden,13/10/1986
Panayotis,Schaar,11/02/1986
Fatemeh,Grospietsch,20/05/1986
Lunjin,Lund,13/09/1986
Chikako,Hiroyama,27/07/1986
Chiranjit,Sichman,10/03/1986
Felicidad,Broomell,20/09/1986
Syozo,DeMori,27/07/1986
Zhiwei,Xiaoshan,5/11/1986
Ravishankar,Iwayama,9/01/1986
Marlo,Maquelin,22/03/1986
Ziyad,Bhattacharjee,1/01/1986
Adib,Basagni,20/05/1986
Marl,Picaronny,29/07/1986
Rafael,Salvesen,18/08/1986
Divier,Thorelli,17/12/1986
Caolyn,Hebert,30/03/1986
Arvind,Esposito,7/08/1986
Tooru,Cools,25/05/1986
TRUE,Garrabrants,18/02/1986
Kwun,Merli,16/09/1986
Kien,Bolotov,26/08/1986
Sreenivas,Schaar,30/06/1986
Gen,Merel,18/11/1986
Rosli,Nannarelli,26/10/1986
Ashish,Akazan,28/08/1986
Kshitij,Babb,16/11/1986
Steen,Heping,25/08/1986
Phuoc,Cappello,8/02/1986
Marlo,Schaaf,6/09/1986
Chanjung,Raoux,10/06/1986
Serif,Litzler,17/02/1986
Chirstian,Marzano,26/01/1986
Alair,Auyong,14/11/1986
Shahab,Brookman,28/04/1986
Ebru,Zirintsis,2/08/1986
Domenico,Candan,15/03/1986
Kokou,Heuser,6/02/1986
Vugranam,Hooghiemstra,9/10/1986
Seshu,Rettelbach,6/04/1986
Jaewoo,Delgrange,31/07/1986
Shietung,Melski,28/04/1986
Hugh,DuBourdieux,25/10/1986
Miyeon,Pramanik,10/11/1986
Toshimi,Murrill,26/11/1986
Luerbio,Leaver,13/03/1986
Manton,Ciolek,20/09/1986
Hitomi,Baumann,23/07/1986
Padma,Chimia,27/11/1986
Xinglin,Birch,12/03/1986
Ymte,Snyers,22/09/1986
Rajmohan,Hatcliff,5/09/1986
Jouni,Kroha,23/11/1986
Maya,Fargier,16/03/1986
Mayuko,Copas,23/12/1986
Chanjung,Gecsel,16/03/1986
Mani,Polajnar,28/09/1986
Mabry,Gecseg,18/07/1986
DAIDA,Laurillard,21/04/1986
Tesuro,Buchter,10/06/1986
Akeel,Slaats,20/12/1986
Valdiodio,Grospietsch,24/08/1986
Valdiodio,Francisci,25/03/1986
Yannis,Ginneken,17/05/1986
Shaz,Dengi,18/01/1986
Alair,Narahari,6/09/1986
Barton,Lichtner,6/12/1986
Ottavia,Wixon,25/01/1986
Ioana,Siksek,15/01/1986
Huican,Conia,12/12/1986
Bader,Steenbeek,14/08/1986
Shao,Camurati,20/02/1986
Radhakrishnan,Chimia,7/02/1986
Guenter,Gente,15/05/1986
Hatem,Haddadi,1/08/1986
Uli,Glowinski,17/05/1986
Martijn,Zizka,25/02/1986
Renny,Lubachevsky,23/05/1986
Moni,Ishibashi,2/10/1986
Vitaly,Rotem,25/01/1986
Mandell,Papastamatiou,3/07/1986
Venkatesan,Kadhim,6/08/1986
Erzsebet,Limongiello,26/07/1986
Arnd,Vilarrasa,7/12/1986
Mahmut,Guenter,25/06/1986
Mohd,Koblitz,16/01/1986
Kazuhisa,Reutenauer,19/04/1986
Hironobu,Hoogerwoord,8/11/1986
Radhakrishnan,Angelov,27/01/1986
Perla,Journel,12/05/1986
Nahum,Brendel,21/09/1986
Sariel,Schade,10/12/1986
Guozhong,Staelin,23/04/1986
Feipei,Pagter,11/01/1986
TRUE,Herber,19/09/1986
Kasturi,Janocha,27/08/1986
Avishai,Sundgren,19/12/1986
Kolar,Peltason,9/08/1986
Bedrich,Bakhtari,11/10/1986
Janche,Heystek,29/08/1986
Yinghua,Denti,1/04/1986
Dannz,Dulay,21/04/1986
Demin,Merks,30/08/1986
Xinglin,Sundgren,8/03/1986
Mantis,Luby,8/10/1986
Shaowen,Einsfeld,28/07/1986
Martine,Hambrick,29/10/1986
Jessie,Brlek,24/02/1986
Navin,McFarlan,21/06/1986
Mihalis,Setlzner,13/03/1986
Ortrun,Kinley,2/10/1986
Radhika,Guardalben,28/02/1986
Filipp,Greenaway,15/03/1986
Pranas,Azuma,26/07/1986
Kerryn,Haldar,11/06/1986
Marek,Erva,2/04/1986
Atreye,Thebaut,21/03/1986
Weijing,Lundstrom,27/03/1986
Zijian,Buescher,10/12/1986
Bowen,Jenevein,13/09/1986
Srinidhi,Schauser,5/11/1986
Piyawadee,Pleszkun,25/09/1986
Bojan,Buescher,26/09/1986
Radhia,Fujisawa,11/03/1986
Lansing,Schach,18/11/1986
Shahab,Schusler,8/12/1986
Arno,Sessa,25/08/1986
Yakkov,Glowinski,11/11/1986
Constantino,Vasanthakumar,28/12/1986
Bedrich,Driscoll,24/04/1986
Zengping,Dulli,8/01/1986
Sungwon,Goodrum,17/02/1986
Shushma,Setlzner,22/05/1986
Guozhong,Pettis,5/10/1986
TRUE,Schiettecatte,22/04/1986
Takushi,Marshall,26/08/1986
Tamiya,Axelband,10/12/1986
Zeljko,Kalsbeek,11/01/1986
Mara,Mondadori,18/06/1986
Ranga,Maksimenko,29/11/1986
Sanjai,Dayang,11/11/1986
Chenyi,Marshall,5/05/1986
Janche,Ariola,27/06/1986
Snehasis,Pargas,2/12/1986
Ottavia,Curless,11/08/1986
Gao,Cummings,28/11/1986
Claude,Dalton,21/10/1986
Gay,Roisin,16/07/1986
Hailing,Calkin,9/12/1986
Geoffry,Basawa,6/04/1986
JoAnne,Gide,28/04/1986
Sachem,Schusler,8/05/1986
Rildo,Dalton,13/04/1986
Premal,Hitomi,1/10/1986
Khedija,Serov,2/03/1986
Chiradeep,Castellani,25/10/1986
Toshiko,Caine,17/10/1986
Sakthirel,Rajaraman,14/02/1986
Chinya,Ginesta,9/08/1986
Lakshmi,Bodoff,19/09/1986
Collette,Wixon,13/01/1986
Fumitake,Kawashimo,19/06/1986
KayLiang,Leuchs,20/07/1986
Weidon,Geffroy,7/12/1986
Junsik,Capobianchi,25/02/1986
Toshimi,Coorg,15/04/1986
Lihong,Baranowski,4/08/1986
Uno,Lanzelotte,6/08/1986
Shuichi,Skafidas,5/01/1986
Reinhard,Miake,28/08/1986
Yongmao,Birnbaum,30/06/1986
Felicidad,Furudate,6/01/1986
Ramya,Rindone,8/06/1986
Tooru,Malabarba,6/07/1986
Muneo,Anido,27/06/1986
Georgi,Rousseau,26/12/1986
Torsten,Schrooten,5/02/1986
Niranjan,Roison,14/01/1986
Apostol,Perz,27/09/1986
Mohd,Baaz,25/07/1986
Khatoun,Peroz,7/05/1986
Martina,Georg,20/02/1986
Mart,Awdeh,5/10/1986
Kyoichi,Bugrara,15/02/1986
Ramzi,Jansch,28/02/1986
Barton,Hofting,4/04/1986
Jacqueline,Jonsson,17/02/1986
Odinaldo,Dayana,19/08/1986
Munir,Tanemo,4/01/1986
Ult,Siochi,26/05/1986
Jayson,Zykh,24/10/1986
Yucai,Cunliffe,1/03/1986
Moriyoshi,Schmezko,15/10/1986
Arno,Spinelli,13/06/1986
Kerryn,Tyugu,24/08/1986
Becky,Henders,21/01/1986
Xuedong,Llado,14/09/1986
Sachar,Schwartzburd,23/02/1986
Saeko,Feldmann,9/05/1986
Luisa,Reistad,15/07/1986
Heng,Waterhouse,4/09/1986
Sungwon,Couchot,1/02/1986
Weiyi,Bernatsky,2/05/1986
Cordelia,Frijda,27/06/1986
Arco,Anick,10/09/1986
Uinam,Biron,19/08/1986
Ewing,Kirkerud,20/01/1986
Halsur,Gils,6/04/1986
Masanao,Juneja,14/05/1986
Zhenbing,Antonakopoulos,11/04/1986
Yinlin,Irland,26/03/1986
Jianwen,Monkewich,21/01/1986
Hilari,Munro,12/01/1986
Pramod,Cooman,25/10/1986
Kinh,Fioravanti,19/03/1986
Shahab,Wissmann,9/02/1986
Lunjin,Danner,13/01/1986
Patricia,Showalter,6/09/1986
Giordano,Krohm,14/06/1986
Arvin,Basawa,19/04/1986
Mooi,Pluym,5/04/1986
Elvis,Vrecion,19/07/1986
Gererd,Muchinsky,2/03/1986
Tremaine,Waeselynck,6/09/1986
Hilari,Kropatsch,17/05/1986
Suebskul,Marrevee,15/01/1986
Shushma,Casperson,14/01/1986
Feixiong,Hiroyama,14/10/1986
Szabolcs,Famili,2/12/1986
Heping,Krychniak,18/05/1986
Abdulla,Guenter,25/04/1986
Hideo,Sudbeck,19/04/1986
Arup,Papadias,12/12/1986
Uzi,Karnin,20/10/1986
Branimir,Picel,25/07/1986
Ger,Hanabata,6/08/1986
Claude,Rosenbaum,23/04/1986
Doowon,Brickell,28/08/1986
Hausi,Schiettecatte,6/01/1986
Annemarie,Sridhar,3/01/1986
Roddy,Kinley,17/01/1986
Licheng,Ozeki,14/12/1986
Zine,Schiettecatte,19/08/1986
Perla,Conti,16/06/1986
Gaetan,Ashish,24/10/1986
Mohit,Rothe,22/05/1986
Petter,Siprelle,12/05/1986
Randy,Barbanera,3/08/1986
Rosita,Basagni,3/06/1986
Tamiya,Casperson,29/09/1986
Shridhar,Glowinski,2/07/1986
Margo,Lakshmanan,24/12/1986
Girolamo,Cummings,31/03/1986
Aram,Syrzycki,7/07/1986
Shir,Straney,10/03/1986
Vishwani,Debuse,14/08/1986
Minghong,Serdy,16/05/1986
Arunas,Iivonen,28/12/1986
Piyawadee,Gomatam,6/03/1986
Zhonghui,Kilgore,6/10/1986
Ortrud,Shinomoto,27/04/1986
Sumant,Suri,30/08/1986
Atilio,Armand,6/10/1986
Dung,Portugali,23/12/1986
Lakshmi,Petersohn,25/06/1986
Mahendra,Greibach,18/12/1986
Otilia,Driscoll,28/07/1986
Arch,Cooke,19/12/1986
Marke,Angelopoulos,18/11/1986
Theron,DiGiano,20/12/1986
Arunas,Figueira,7/12/1986
Ulf,Sundgren,2/12/1986
Yolla,Auria,25/04/1986
LiMin,Papadias,19/02/1986
Weiyi,Zultner,14/07/1986
Hideyuki,Ramsak,4/11/1986
Sandeepan,Daescu,24/11/1986
Richard,Syrotiuk,30/01/1986
Francesca,Hiroyama,30/06/1986
Kazuhiro,Benveniste,23/01/1986
Bedir,Guerreiro,12/04/1986
Arun,Alvarado,16/08/1986
Chinhyun,Lichtner,8/04/1986
Conal,Radhakrishnan,7/05/1986
Juichirou,Chelton,11/08/1986
Susanne,Cappello,5/03/1986
Valter,Cromarty,3/04/1986
Takanari,Bugrara,6/01/1986
Mircea,Lunn,19/12/1986
Oscal,Staudhammer,1/09/1986
Inderjeet,Giarratana,28/08/1986
Parke,Makrucki,11/11/1986
Surveyors,Crouzet,28/06/1986
Vishwani,Colorni,5/03/1986
Kenton,Heping,31/12/1986
Pohua,Percebois,12/02/1986
Pramod,Sifakis,19/05/1986
Herbert,Schmiedel,17/11/1986
Xinyu,Awdeh,19/03/1986
Tamiya,Katalagarianos,7/06/1986
Dipankar,Negoita,23/10/1986
Mark,Porenta,12/04/1986
Nahla,Puppe,4/03/1986
Fumino,Spinelli,20/03/1986
Tomoyuki,Eastman,30/07/1986
Make,Birnbaum,30/01/1986
Sadun,Grandbois,25/05/1986
Jouni,Rullman,22/02/1986
Ronghao,Nanard,21/10/1986
Mats,Auyong,19/05/1986
Adamantios,Domenig,18/10/1986
Remzi,Frezza,12/05/1986
Noritoshi,Rosen,12/09/1986
Vivian,Thorelli,15/01/1986
Shalesh,Snyers,25/03/1986
Vincent,Naumovich,30/09/1986
Sverrir,Baba,20/05/1986
Udo,Oaver,10/12/1986
Valery,Kohling,29/01/1986
Luigi,Weedon,2/05/1986
Stafford,Walstra,5/06/1986
Dekang,Warwick,1/05/1986
Subhash,Mukaidono,27/05/1986
Shuji,Stanger,4/10/1986
Danae,Birrer,11/03/1986
Make,Baek,13/03/1986
Margo,Puppo,21/07/1986
LiMin,Janetzko,22/11/1986
Sashi,Yemenis,25/11/1986
Jeane,Luby,7/04/1986
Lech,Hettesheimer,16/10/1986
Perla,Rehfuss,14/11/1986
Leaf,Whittlesey,7/05/1986
Hidefumi,Rikino,9/12/1986
Qunsheng,Papastamatiou,14/09/1986
Yaghout,Panangaden,22/05/1986
Luise,Nyanchama,6/02/1986
KayLiang,Sridhar,22/07/1986
Tamiya,Perin,28/07/1986
Panayotis,Domenig,27/11/1986
Gila,Chenoweth,25/03/1986
Juichirou,Kusalik,26/03/1986
Dipayan,Lanzelotte,2/11/1986
Leaf,Riexinger,11/11/1986
Alexius,Candan,5/05/1986
Szabolcs,Hellwagner,27/06/1986
Ishfaq,Sridhar,21/06/1986
Xiaoqiu,Schlenzig,9/11/1986
Teiji,Lores,3/04/1986
Vitali,Pardalos,16/01/1986
Xianlong,Eterovic,9/12/1986
Kolar,Lindenbaum,2/11/1986
Zeydy,Gniady,2/05/1986
Takanari,Kusakari,14/07/1986
Shahid,Jullig,12/04/1986
Yuchang,Chelton,15/05/1986
Marjo,Vigier,2/06/1986
Yuchang,Bresenham,25/09/1986
Mostafa,Puppo,14/11/1986
Mara,Hiroyama,17/03/1986
Menkae,Baar,28/10/1986
Tadahiro,Skafidas,19/04/1986
Guoxiang,Sifakis,11/11/1986
Anestis,Perly,8/09/1986
Arif,Cannata,2/03/1986
Barna,Thisen,20/11/1986
Shigeichiro,Velasco,11/04/1986
Barun,Murtafg,22/06/1986
Amalendu,Yurov,22/10/1986
Xiaobin,Alblas,31/12/1986
Monique,Mawatari,5/03/1986
Waiman,Wilfing,25/04/1986
Basil,Zucker,5/05/1986
Naftaly,Flowers,15/05/1986
Mart,Delgrossi,6/12/1986
Holgard,Prenel,1/01/1986
Chinhyun,Plotkin,16/06/1986
Yunming,Ohori,3/11/1986
Satosi,Fioravanti,25/03/1986
Xiong,Kolvik,20/11/1986
Sumali,Iisaka,2/04/1986
Ult,Atchley,15/07/1986
Yishai,Schreiter,19/08/1986
Shan,Encarnacion,4/01/1986
Valeri,Asrin,22/08/1986
Sham,Reinhart,28/10/1986
Jouni,Ciolek,23/11/1986
Toshiko,Narwekar,17/08/1986
Basem,Thombley,7/12/1986
Yinlin,Gils,13/06/1986
Luigi,Kruskal,14/06/1986
Gaurav,Riefers,8/03/1986
Parke,Reinhart,2/03/1986
Spyrose,Haumacher,20/03/1986
Niteen,Koyama,13/08/1986
Reinhard,Facello,23/09/1986
Sigeru,McAlpine,20/12/1986
Godehard,Sherertz,27/09/1986
Zhonghui,Marshall,1/02/1986
Zongyan,Terekhov,3/10/1986
Chikara,Streng,23/12/1986
Deborah,Ozery,5/12/1986
Bernardo,Kulisch,8/11/1986
Subir,Tzvieli,12/09/1986
Marek,Aamodt,31/01/1986
Shin,Zhang,28/07/1986
Nechama,Hettesheimer,22/01/1986
Naftali,Kieras,2/03/1986
TRUE,Beilner,15/05/1986
Werner,Gien,7/10/1986
Valter,Karnin,19/06/1986
Kwok,Azuma,19/11/1986
Werner,Itzfeldt,3/10/1986
Lillian,Wiegley,17/03/1986
Owen,Lamba,13/04/1986
Valter,Preusig,13/01/1986
Teunis,Iacovou,14/04/1986
Holgard,Nations,2/01/1986
Jaber,Kleiser,13/12/1986
Yunming,Jansch,25/01/1986
Bouchung,Androutsos,24/03/1986
Qiwen,Brlek,17/04/1986
Rance,Cannata,21/08/1986
Mohammed,Picaronny,12/09/1986
Huei,Pauthner,19/03/1986
Chinya,Comte,18/03/1986
Ramya,Plump,22/11/1986
Khatoun,Stamatiou,29/06/1986
Jongsuk,Lichtman,27/12/1986
King,Gonthier,27/06/1986
Heather,Chaudhuri,9/03/1986
Feipei,Prenel,12/10/1986
Zita,Rosch,31/03/1986
Jingling,Alameldin,20/12/1986
Breannda,Braccini,27/08/1986
Limsoon,Chaudhuri,4/01/1986
Sajjad,Piazza,8/04/1986
Arun,Shackell,7/02/1986
Frederique,Staudhammer,12/05/1986
Nishit,Siochi,20/08/1986
Sorina,Gerteisen,23/10/1986
Jeanne,Speek,19/01/1986
Arco,Stranks,7/12/1986
Sugwoo,Sabnani,27/09/1986
Nagui,Monkewich,4/06/1986
Spyrose,McFarlin,26/11/1986
Alejandro,Papadias,20/11/1986
Bokyung,Mawatari,7/05/1986
Demos,Morton,1/12/1986
Piyawadee,Kitai,26/09/1986
Chikako,Raczkowsky,11/04/1986
Yishay,Thiria,27/10/1986
Jiafu,Zielinski,19/08/1986
Chinho,Huhdanpaa,23/02/1986
Bikash,Borovoy,30/04/1986
Subbu,Gurbaxani,17/06/1986
Ingmar,Brandsma,8/01/1986
Gor,Thombley,30/08/1986
Xiahua,Lipner,25/02/1986
Mang,Emmart,7/08/1986
Jianhui,Schach,18/02/1986
Abdulah,Covnot,30/04/1986
Kellyn,Levasseur,7/01/1986
Shakhar,Bolotov,27/06/1986
Hidde,Fetvedt,27/05/1986
Sukumar,Rodite,21/05/1986
Bokyung,Fendler,6/12/1986
Guttorm,Kulisch,7/10/1986
Tadanori,Felcyn,21/12/1986
Yongmin,England,1/10/1986
Taiji,Loncour,25/04/1986
Ghassan,Naudin,7/07/1986
Barun,Rattan,30/08/1986
Claude,Stroustrup,10/04/1986
Gill,Vilarrasa,27/04/1986
Holgard,Suwa,18/06/1986
Terresa,Khalil,1/02/1986
Zvonko,DasSarma,6/12/1986
Constantine,Velardi,20/09/1986
Baocai,Serre,14/03/1986
Ramachenga,Speek,6/09/1986
Ulises,Sgarro,11/09/1986
Ishfaq,Bugaenko,21/03/1986
Theirry,Ramras,30/04/1986
Leen,Randt,13/06/1986
Berthier,Bondorf,17/10/1986
Dung,Driscoll,7/08/1986
Zhiguo,McClure,23/12/1986
Jacqueline,Morton,24/06/1986
Mingdong,Georgatos,2/02/1986
Kaijung,Garnick,10/03/1986
Marla,Karunanithi,19/09/1986
Hironobu,Nannarelli,11/08/1986
Kazuhide,Fiutem,10/11/1986
Chaitali,Gire,27/04/1986
Maja,Wilharm,11/04/1986
Bowen,Journel,19/12/1986
Golgen,Braccini,19/12/1986
Munehiko,Rathonyi,2/03/1986
Alassane,Wolniewicz,6/10/1986
Xiadong,Leonhardt,10/03/1986
Susumu,Kuhnemann,19/12/1986
Sanjay,Passafiume,30/10/1986
Gao,Schusler,29/11/1986
Jaihie,Vuskovic,9/11/1986
Matk,Bain,2/07/1986
Nagui,Rosar,7/11/1986
Chiranjit,Thisen,28/07/1986
Kerhong,Azadmanesh,27/09/1986
Sergi,Gruenwald,10/11/1986
Martina,Feinberg,25/01/1986
Toshiki,Hockney,26/05/1986
Peer,Rebaine,20/07/1986
Leif,Vesel,14/11/1986
Jeanna,Gecsei,11/12/1986
Mong,Tagansky,5/08/1986
Piyawadee,Schaap,30/08/1986
Izaskun,Bottner,7/03/1986
Chirstian,Bonifati,30/05/1986
Aemilian,Masaki,17/06/1986
King,Schwabacher,10/02/1986
Seongbae,Szmurlo,2/01/1986
Gian,Bierbaum,26/09/1986
Leszek,Thibadeau,10/09/1986
Nahla,Jeong,17/09/1986
Baoqiu,Luders,19/05/1986
Vishwani,Feldhoffer,30/08/1986
Domenico,Lipner,22/11/1986
Zhiguo,Muchinsky,7/11/1986
Achilleas,Molberg,7/02/1986
Duri,Danlos,26/09/1986
Krister,Talmon,21/10/1986
Morrie,Gargeya,21/12/1986
Shugo,Seghrouchni,23/04/1986
Rasiah,Berendt,20/09/1986
Divier,Ellozy,5/03/1986
Mani,Vadhan,26/03/1986
Phuoc,Eugenio,29/06/1986
Aloys,Braunmuhl,31/07/1986
Akeno,Narwekar,28/06/1986
Susuma,Cronau,5/10/1986
Kazuhira,Sinicrope,4/09/1986
Jenwei,Garnham,3/05/1986
Mats,Ebeling,2/05/1986
Demos,Kroon,10/04/1986
Lillian,Rande,3/09/1986
Yagil,Schurmann,16/05/1986
Ramalingam,Antonakopoulos,22/08/1986
Abdelghani,Fraisse,27/05/1986
Zita,Chleq,13/10/1986
Nalini,Hanratty,4/12/1986
Valery,Suomi,14/03/1986
Feixiong,Fordan,25/11/1986
Elzbieta,Varley,15/06/1986
Kish,Yetim,9/07/1986
